,case_identifier,inputstate_2016,healthcov2_2,educ_2016,marstat_2016,faminc_2016,presvote16post_2016
122,6169340,Nebraska,,Some college,Married,"$100,000 - $119,999",Hillary Clinton
123,6169358,Texas,,Post-grad,Married,"$150,000 or more",Hillary Clinton
124,6170420,Florida,,4-year,Divorced,Prefer not to say,Donald Trump
125,6170999,Washington,,Some college,Married,Prefer not to say,Donald Trump
126,6173759,Alabama,,Some college,Married,"$50,000 - $59,999",Hillary Clinton
127,6174257,Pennsylvania,,Post-grad,Single,Prefer not to say,Hillary Clinton
128,6178229,Texas,,4-year,Married,"$120,000 - $149,999",Gary Johnson
129,6178985,Indiana,,4-year,Single,"$60,000 - $69,999",Hillary Clinton
130,6179771,New York,,2-year,Domestic partnership,"$70,000 - $79,999",Hillary Clinton
131,6180053,Pennsylvania,,4-year,Married,Prefer not to say,Donald Trump
132,6181898,Mississippi,,Some college,Divorced,Prefer not to say,Hillary Clinton
133,6183761,Oregon,,Post-grad,Divorced,"$60,000 - $69,999",Hillary Clinton
134,6184673,New York,,Post-grad,Married,"$80,000 - $99,999",Hillary Clinton
135,6184751,North Carolina,,2-year,Married,"$150,000 - $199,999",Donald Trump
136,6185615,Maryland,,Some college,Married,"$80,000 - $99,999",Donald Trump
137,6188075,Pennsylvania,,Post-grad,Single,Prefer not to say,
138,6188486,South Carolina,,4-year,Single,Prefer not to say,
139,6188504,Connecticut,,2-year,Married,Prefer not to say,Hillary Clinton
140,6191732,New Jersey,,Post-grad,Married,"$250,000 - $349,999",Donald Trump
141,6192383,Minnesota,,Some college,Married,"$120,000 - $149,999",Donald Trump
142,6192560,Ohio,,Post-grad,Married,"$80,000 - $99,999",Donald Trump
143,6194963,Illinois,,Some college,Married,"$100,000 - $119,999",Hillary Clinton
144,6197192,Missouri,,4-year,Married,"$250,000 - $349,999",Donald Trump
145,6197963,New York,,Post-grad,Married,"$500,000 or more",Hillary Clinton
146,6202310,Massachusetts,,Post-grad,Married,"$120,000 - $149,999",Donald Trump
147,6202931,Tennessee,,4-year,Single,"$50,000 - $59,999",Hillary Clinton
148,6203066,Illinois,,4-year,Married,"$200,000 - $249,999",Hillary Clinton
149,6204386,Wisconsin,,4-year,Single,"$100,000 - $119,999",Hillary Clinton
150,6206105,Texas,,Post-grad,Married,"$250,000 - $349,999",Donald Trump
151,6208100,Texas,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
152,6209570,New York,,Post-grad,Married,"$350,000 - $499,999",Donald Trump
153,6211460,Florida,,High school graduate,Married,"$50,000 - $59,999",Hillary Clinton
154,6216644,Wisconsin,,High school graduate,Married,"$80,000 - $99,999",Donald Trump
155,6216743,Oregon,,2-year,Single,"$40,000 - $49,999",Gary Johnson
156,6217184,Pennsylvania,,4-year,Married,Prefer not to say,Hillary Clinton
157,6218957,Washington,,Post-grad,Married,"$100,000 - $119,999",Donald Trump
158,6219236,Arizona,,Some college,Divorced,"$10,000 - $19,999",Hillary Clinton
159,6219497,Kansas,,Post-grad,Single,"$70,000 - $79,999",Hillary Clinton
160,6220028,Michigan,,4-year,Married,"$60,000 - $69,999",Donald Trump
161,6221858,Ohio,,High school graduate,Married,Prefer not to say,Hillary Clinton
162,6222932,Florida,,2-year,Married,Prefer not to say,Donald Trump
163,6226313,Illinois,,Some college,Single,"$30,000 - $39,999",Hillary Clinton
164,6227495,Oklahoma,,Some college,Married,"$20,000 - $29,999",Gary Johnson
165,6227969,Florida,,Some college,Married,"$30,000 - $39,999",Donald Trump
166,6229142,Indiana,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
167,6229352,Kansas,,Post-grad,Married,"$150,000 - $199,999",Donald Trump
168,6229544,Georgia,,4-year,Married,Prefer not to say,Donald Trump
169,6229913,Florida,,High school graduate,Married,"$80,000 - $99,999",Gary Johnson
170,6230198,Wisconsin,,Some college,Single,"$10,000 - $19,999",Donald Trump
171,6230408,Illinois,,2-year,Married,"$100,000 - $119,999",Donald Trump
172,6232193,Colorado,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
173,6232631,Florida,,2-year,Married,Prefer not to say,Donald Trump
174,6233612,Ohio,,2-year,Divorced,"$40,000 - $49,999",Hillary Clinton
175,6236744,New Mexico,,4-year,Married,"$150,000 - $199,999",Hillary Clinton
176,6239744,Georgia,,Post-grad,Married,"$200,000 - $249,999",Hillary Clinton
177,6247142,Kentucky,,4-year,Married,Prefer not to say,Donald Trump
178,6247949,North Carolina,,4-year,Single,"$100,000 - $119,999",Hillary Clinton
179,6249251,Utah,,High school graduate,Married,"$30,000 - $39,999",Hillary Clinton
180,6249485,Minnesota,,4-year,Married,"$70,000 - $79,999",Donald Trump
181,6253385,Ohio,,4-year,Married,"$100,000 - $119,999",Other
182,6253928,Idaho,,Some college,Single,"$50,000 - $59,999",Donald Trump
183,6255209,New Jersey,,4-year,Married,"$100,000 - $119,999",Hillary Clinton
184,6262622,New York,,2-year,Single,"$100,000 - $119,999",Hillary Clinton
185,6263354,Ohio,,Post-grad,Married,"$200,000 - $249,999",Hillary Clinton
186,6265466,North Carolina,,2-year,Married,"$70,000 - $79,999",Donald Trump
187,6271040,Texas,,4-year,Married,Prefer not to say,Gary Johnson
188,6273704,Texas,,Some college,Married,"$150,000 - $199,999",Donald Trump
189,6278276,Pennsylvania,,Post-grad,Single,Prefer not to say,
190,6279956,Illinois,,2-year,Single,"$60,000 - $69,999",Hillary Clinton
191,6280574,Pennsylvania,,Some college,Divorced,"$40,000 - $49,999",Donald Trump
192,6281192,Colorado,,4-year,Single,"$70,000 - $79,999",Jill Stein
193,6282716,New Jersey,,4-year,Single,"$200,000 - $249,999",Gary Johnson
194,6282788,Illinois,,4-year,Single,"$20,000 - $29,999",Hillary Clinton
195,6285515,Illinois,,Post-grad,Married,Prefer not to say,Hillary Clinton
196,6285701,Ohio,,High school graduate,Single,"$10,000 - $19,999",Hillary Clinton
197,6287039,Nebraska,,Post-grad,Married,"$80,000 - $99,999",Donald Trump
198,6288212,Minnesota,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
199,6288599,Ohio,,Post-grad,Divorced,"$70,000 - $79,999",Hillary Clinton
200,6291113,Pennsylvania,,Post-grad,Married,Prefer not to say,Hillary Clinton
201,6291146,New York,,Post-grad,Single,"$80,000 - $99,999",Donald Trump
202,6291557,Massachusetts,,Some college,Domestic partnership,"$250,000 - $349,999",Hillary Clinton
203,6291608,California,,4-year,Single,"$80,000 - $99,999",Hillary Clinton
204,6293183,New York,,2-year,Single,"$10,000 - $19,999",Hillary Clinton
205,6293396,California,,2-year,Separated,"$120,000 - $149,999",Hillary Clinton
206,6294578,South Dakota,,Some college,Married,"$80,000 - $99,999",Donald Trump
207,6299315,Kansas,,4-year,Divorced,"$60,000 - $69,999",Jill Stein
208,6304361,North Carolina,,4-year,Married,"$150,000 - $199,999",Hillary Clinton
209,6305450,Pennsylvania,,2-year,Married,"$150,000 - $199,999",Donald Trump
