,case_identifier,inputstate_2016,healthcov2_2,educ_2016,marstat_2016,faminc_2016,presvote16post_2016
4259,52523900,Arizona,,4-year,Married,"$100,000 - $119,999",Donald Trump
4260,52553102,Colorado,,Some college,Married,"$30,000 - $39,999",Gary Johnson
4261,52563110,Michigan,,4-year,Single,"$50,000 - $59,999",Gary Johnson
4262,52568873,Vermont,,Some college,Married,Prefer not to say,Hillary Clinton
4263,52582088,Massachusetts,,Some college,Single,"$20,000 - $29,999",Hillary Clinton
4264,52598753,Florida,,Some college,Married,"$40,000 - $49,999",Hillary Clinton
4265,52599344,California,,4-year,Married,"$80,000 - $99,999",Hillary Clinton
4266,52603289,Minnesota,,High school graduate,Divorced,"$30,000 - $39,999",Donald Trump
4267,52604912,Washington,,High school graduate,Domestic partnership,"$60,000 - $69,999",Donald Trump
4268,52633238,Texas,,4-year,Separated,"$20,000 - $29,999",
4269,52635500,Illinois,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
4270,52695992,Texas,,Some college,Widowed,"$30,000 - $39,999",Hillary Clinton
4271,52702088,New Jersey,,2-year,Divorced,Prefer not to say,Hillary Clinton
4272,52740647,Florida,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
4273,52751882,Texas,,Some college,Domestic partnership,"$80,000 - $99,999",Hillary Clinton
4274,52771844,Nebraska,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
4275,52777907,Michigan,,Post-grad,Single,"$20,000 - $29,999",Hillary Clinton
4276,52778279,District of Columbia,,4-year,Single,"$70,000 - $79,999",Hillary Clinton
4277,52801202,Missouri,,High school graduate,Married,"$80,000 - $99,999",Hillary Clinton
4278,52821632,Illinois,,Some college,Single,"$60,000 - $69,999",Hillary Clinton
4279,52833746,Kansas,,4-year,Married,"$120,000 - $149,999",Other
4280,52835894,California,,4-year,Married,"$30,000 - $39,999",Hillary Clinton
4281,52838243,Colorado,,Some college,Married,"$10,000 - $19,999",Donald Trump
4282,52883327,Minnesota,,No HS,Married,"$20,000 - $29,999",Donald Trump
4283,52900238,Texas,,Post-grad,Married,"$120,000 - $149,999",Gary Johnson
4284,52912052,California,,High school graduate,Single,"$50,000 - $59,999",Hillary Clinton
4285,52918835,New Jersey,,4-year,Single,"$20,000 - $29,999",Gary Johnson
4286,52939550,Wisconsin,,2-year,Married,"$50,000 - $59,999",Hillary Clinton
4287,52946780,Delaware,,2-year,Divorced,"Less than $10,000",Donald Trump
4288,52996925,Wisconsin,,Some college,Divorced,Prefer not to say,Hillary Clinton
4289,53000390,Washington,,High school graduate,Divorced,"$30,000 - $39,999",Donald Trump
4290,53007407,Washington,,Some college,Divorced,"Less than $10,000",Hillary Clinton
4291,53026910,Wisconsin,,2-year,Widowed,"$40,000 - $49,999",Hillary Clinton
4292,53049635,Tennessee,,High school graduate,Married,"$80,000 - $99,999",Hillary Clinton
4293,53051492,Michigan,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
4294,53062718,Kentucky,,High school graduate,Married,"$50,000 - $59,999",Hillary Clinton
4295,53070446,Texas,,High school graduate,Divorced,"Less than $10,000",
4296,53091425,Tennessee,,High school graduate,Married,"$80,000 - $99,999",
4297,53093201,Georgia,,Post-grad,Domestic partnership,"$100,000 - $119,999",Other
4298,53097470,Maryland,,Post-grad,Married,"$80,000 - $99,999",Donald Trump
4299,53109209,Florida,,Post-grad,Married,"$120,000 - $149,999",Donald Trump
4300,53110880,Texas,,Some college,Married,Prefer not to say,Hillary Clinton
4301,53118281,Missouri,,4-year,Married,Prefer not to say,Donald Trump
4302,53120933,South Carolina,,2-year,Single,Prefer not to say,Hillary Clinton
4303,53152748,Iowa,,Some college,Married,"$40,000 - $49,999",Donald Trump
4304,53162387,California,,Some college,Married,"$20,000 - $29,999",Donald Trump
4305,53203220,Washington,,High school graduate,Married,"$70,000 - $79,999",Donald Trump
4306,53215742,New York,,4-year,Married,Prefer not to say,Donald Trump
4307,53222882,Pennsylvania,,4-year,Married,"$70,000 - $79,999",Hillary Clinton
4308,53234036,Texas,,High school graduate,Widowed,Prefer not to say,Hillary Clinton
4309,53241176,Georgia,,4-year,Married,"$40,000 - $49,999",Gary Johnson
4310,53246285,Ohio,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
4311,53246615,California,,2-year,Married,Prefer not to say,Donald Trump
4312,53250461,New York,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
4313,53254559,Missouri,,Some college,Married,Prefer not to say,Donald Trump
4314,53288069,Florida,,4-year,Married,"$60,000 - $69,999",Donald Trump
4315,53290823,Ohio,,High school graduate,Married,"$40,000 - $49,999",
4316,53291135,New York,,Post-grad,Married,"$70,000 - $79,999",Donald Trump
4317,53297963,Massachusetts,,Some college,Married,"$120,000 - $149,999",Donald Trump
4318,53299895,Maine,,Some college,Married,"$30,000 - $39,999",Hillary Clinton
4319,53299979,Kentucky,,High school graduate,Married,"$70,000 - $79,999",Hillary Clinton
4320,53301362,California,,Some college,Widowed,"$20,000 - $29,999",Hillary Clinton
4321,53302148,Maryland,,2-year,Married,"$60,000 - $69,999",Hillary Clinton
4322,53308433,California,,Some college,Married,"$70,000 - $79,999",Hillary Clinton
4323,53319752,California,,Some college,Single,"$20,000 - $29,999",Donald Trump
4324,53328758,Pennsylvania,,Some college,Married,"$50,000 - $59,999",Hillary Clinton
4325,53339858,New York,,4-year,Divorced,"$20,000 - $29,999",Donald Trump
4326,53340983,California,,Post-grad,Divorced,"$40,000 - $49,999",Hillary Clinton
4327,53341001,Hawaii,,Post-grad,Married,Prefer not to say,Hillary Clinton
4328,53347382,Illinois,,High school graduate,Divorced,"$50,000 - $59,999",
4329,53347445,Ohio,,High school graduate,Married,"$100,000 - $119,999",Donald Trump
4330,53351954,Texas,,Some college,Separated,"$20,000 - $29,999",Hillary Clinton
4331,53375288,Utah,,Post-grad,Married,"$200,000 - $249,999",Hillary Clinton
4332,53389343,Ohio,,4-year,Married,"$80,000 - $99,999",Donald Trump
4333,53390453,Georgia,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
4334,53391686,Connecticut,,Some college,Single,Prefer not to say,Hillary Clinton
4335,53396876,Georgia,,Post-grad,Married,"$80,000 - $99,999",Hillary Clinton
4336,53399468,Michigan,,2-year,Widowed,"$40,000 - $49,999",Donald Trump
4337,53401100,Maryland,,Some college,Divorced,"$20,000 - $29,999",Hillary Clinton
4338,53401295,Massachusetts,,Some college,Married,"$20,000 - $29,999",Hillary Clinton
4339,53402636,New York,,Some college,Married,"$100,000 - $119,999",Gary Johnson
4340,53404124,Nevada,,2-year,Married,"$100,000 - $119,999",Donald Trump
4341,53420018,New York,,4-year,Widowed,"$20,000 - $29,999",Hillary Clinton
4342,53434817,Texas,,High school graduate,Married,"$60,000 - $69,999",Hillary Clinton
4343,53443820,New York,,Some college,Married,"$70,000 - $79,999",Donald Trump
4344,53473574,Louisiana,,High school graduate,Married,"$50,000 - $59,999",
4345,53475386,North Carolina,,2-year,Divorced,"$10,000 - $19,999",Hillary Clinton
4346,53509916,Indiana,,High school graduate,Widowed,"$20,000 - $29,999",Donald Trump
4347,53511983,Florida,,2-year,Married,"$120,000 - $149,999",Donald Trump
4348,53513195,Georgia,,Post-grad,Single,Prefer not to say,Donald Trump
4349,53522939,Missouri,,High school graduate,Married,"$60,000 - $69,999",Donald Trump
4350,53527535,Ohio,,High school graduate,Single,"$60,000 - $69,999",Donald Trump
4351,53529515,Utah,,4-year,Married,"$100,000 - $119,999",Evan McMullin
4352,53536865,Florida,,Some college,Divorced,"$20,000 - $29,999",Donald Trump
4353,53559350,Montana,,4-year,Divorced,"Less than $10,000",Donald Trump
4354,53564285,Connecticut,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
4355,53580707,Delaware,,4-year,Married,"$120,000 - $149,999",Donald Trump
4356,53583140,Florida,,High school graduate,Divorced,"$120,000 - $149,999",Hillary Clinton
4357,53590442,New York,,4-year,Single,"$80,000 - $99,999",Jill Stein
4358,53609006,Missouri,,Some college,Married,"$120,000 - $149,999",Donald Trump
4359,53621162,California,,Some college,Married,"$150,000 - $199,999",Donald Trump
4360,53631902,Pennsylvania,,Post-grad,Divorced,"$200,000 - $249,999",Donald Trump
4361,53632187,California,,4-year,Single,"$60,000 - $69,999",Hillary Clinton
4362,53638946,Nebraska,,Some college,Married,Prefer not to say,Donald Trump
4363,53649524,Minnesota,,2-year,Married,"$70,000 - $79,999",Hillary Clinton
4364,53651240,Washington,,4-year,Married,"$60,000 - $69,999",Donald Trump
4365,53656625,Pennsylvania,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
4366,53658125,Florida,,High school graduate,Divorced,"$60,000 - $69,999",Hillary Clinton
4367,53668613,California,,Post-grad,Married,"$60,000 - $69,999",Hillary Clinton
4368,53699360,Washington,,High school graduate,Married,"$40,000 - $49,999",Hillary Clinton
4369,53699987,Florida,,4-year,Married,"$150,000 - $199,999",Donald Trump
4370,53712011,Minnesota,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
4371,53721335,Maryland,,No HS,Married,Prefer not to say,Hillary Clinton
4372,53730485,Alaska,,Some college,Single,"$40,000 - $49,999",Other
4373,53734289,New Jersey,,Post-grad,Single,"$70,000 - $79,999",Other
4374,53736143,Florida,,High school graduate,Divorced,"$40,000 - $49,999",Donald Trump
4375,53748032,Ohio,,Some college,Married,"$100,000 - $119,999",Donald Trump
4376,53771393,Iowa,,2-year,Married,"$100,000 - $119,999",Hillary Clinton
4377,53772959,West Virginia,,High school graduate,Single,Prefer not to say,Other
4378,53778596,Ohio,,Some college,Married,"$70,000 - $79,999",Hillary Clinton
4379,53780999,Virginia,,4-year,Married,"$200,000 - $249,999",Donald Trump
4380,53799053,Michigan,,4-year,Married,Prefer not to say,Donald Trump
4381,53831378,Indiana,,4-year,Married,"$40,000 - $49,999",Donald Trump
4382,53843291,Minnesota,,2-year,Married,"$50,000 - $59,999",Hillary Clinton
4383,53848019,Utah,,2-year,Single,"$30,000 - $39,999",Evan McMullin
4384,53854535,Oregon,,Some college,Separated,"$80,000 - $99,999",Hillary Clinton
4385,53865233,South Carolina,,2-year,Married,"$40,000 - $49,999",Donald Trump
4386,53866883,Arizona,,High school graduate,Widowed,"$10,000 - $19,999",Gary Johnson
4387,53871908,New York,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
4388,53895875,New Hampshire,,4-year,Single,"$60,000 - $69,999",Other
4389,53898137,Pennsylvania,,High school graduate,Divorced,"$50,000 - $59,999",Donald Trump
4390,53909462,New Jersey,,2-year,Married,"$60,000 - $69,999",Donald Trump
4391,53926847,Oklahoma,,High school graduate,Married,"$40,000 - $49,999",Gary Johnson
4392,53932247,Michigan,,Post-grad,Married,"$70,000 - $79,999",Hillary Clinton
4393,53982635,Washington,,2-year,Married,"$150,000 or more",Donald Trump
4394,54002297,Florida,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
4395,54038969,Arizona,,Post-grad,Divorced,"$50,000 - $59,999",Donald Trump
4396,54056762,Massachusetts,,4-year,Married,Prefer not to say,Hillary Clinton
4397,54057383,New York,,Some college,Married,"$70,000 - $79,999",Hillary Clinton
4398,54058382,Michigan,,4-year,Single,Prefer not to say,Hillary Clinton
4399,54065504,Michigan,,4-year,Single,"$70,000 - $79,999",Donald Trump
4400,54073772,West Virginia,,High school graduate,Married,"$40,000 - $49,999",Did not vote for President
4401,54075017,Missouri,,Some college,Widowed,Prefer not to say,Hillary Clinton
4402,54076520,Ohio,,2-year,Divorced,"$60,000 - $69,999",Donald Trump
4403,54083264,Illinois,,High school graduate,Married,"$20,000 - $29,999",Hillary Clinton
4404,54088859,Texas,,No HS,Domestic partnership,"$30,000 - $39,999",Donald Trump
4405,54092057,California,,Some college,Widowed,Prefer not to say,Donald Trump
4406,54106586,Florida,,Some college,Married,"$40,000 - $49,999",Hillary Clinton
4407,54107762,Illinois,,Some college,Married,"$50,000 - $59,999",Hillary Clinton
4408,54109535,Oregon,,4-year,Married,"$150,000 - $199,999",Donald Trump
4409,54110597,Georgia,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
4410,54113843,Pennsylvania,,Some college,Married,"$100,000 - $119,999",Donald Trump
4411,54117638,Florida,,4-year,Married,"$60,000 - $69,999",Donald Trump
4412,54120896,Maine,,Some college,Married,"$50,000 - $59,999",Donald Trump
4413,54121880,Nebraska,,Some college,Divorced,"$70,000 - $79,999",Hillary Clinton
4414,54125579,Illinois,,4-year,Married,"$100,000 - $119,999",Donald Trump
4415,54130286,Texas,,Some college,Married,"$120,000 - $149,999",Hillary Clinton
4416,54135074,New Jersey,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
4417,54135389,Alabama,,2-year,Married,"$60,000 - $69,999",Donald Trump
4418,54154949,Pennsylvania,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
4419,54158087,New York,,4-year,Married,"$150,000 - $199,999",Hillary Clinton
4420,54167018,Ohio,,High school graduate,Single,"$10,000 - $19,999",Donald Trump
4421,54188942,New York,,2-year,Divorced,"$20,000 - $29,999",Gary Johnson
4422,54202469,New York,,4-year,Separated,"$50,000 - $59,999",Hillary Clinton
4423,54224684,Kentucky,,Post-grad,Single,"$20,000 - $29,999",Donald Trump
4424,54276182,Pennsylvania,,2-year,Married,Prefer not to say,Hillary Clinton
4425,54302996,Florida,,Some college,Married,"$100,000 - $119,999",Hillary Clinton
4426,54323216,Utah,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
4427,54329894,New York,,Post-grad,Widowed,Prefer not to say,Donald Trump
4428,54347336,Washington,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
4429,54389105,Massachusetts,,Post-grad,Single,Prefer not to say,Donald Trump
4430,54414167,Virginia,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
4431,54421418,Florida,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
4432,54421598,Virginia,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
4433,54422996,Florida,,No HS,Married,"$80,000 - $99,999",Jill Stein
4434,54423206,Missouri,,High school graduate,Married,"$30,000 - $39,999",Hillary Clinton
4435,54423710,Michigan,,High school graduate,Widowed,"$120,000 - $149,999",Donald Trump
4436,54425081,Nevada,,High school graduate,Widowed,"$30,000 - $39,999",Donald Trump
4437,54428336,California,,No HS,Divorced,"$10,000 - $19,999",Hillary Clinton
4438,54434396,Georgia,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
4439,54436388,Florida,,Post-grad,Married,"$120,000 - $149,999",Donald Trump
4440,54450368,Florida,,Post-grad,Single,"$60,000 - $69,999",Hillary Clinton
4441,54459680,Illinois,,Some college,Domestic partnership,"$100,000 - $119,999",Gary Johnson
4442,54465140,New York,,4-year,Married,Prefer not to say,Donald Trump
4443,54469721,Indiana,,Some college,Single,"$250,000 - $349,999",Donald Trump
4444,54470045,Florida,,Post-grad,Divorced,"$120,000 - $149,999",Donald Trump
4445,54471944,New Jersey,,High school graduate,Married,"$70,000 - $79,999",Donald Trump
4446,54477593,Florida,,Some college,Married,"$80,000 - $99,999",Donald Trump
4447,54479300,Florida,,High school graduate,Married,"$100,000 - $119,999",Donald Trump
4448,54481037,Massachusetts,,Post-grad,Married,"$200,000 - $249,999",Donald Trump
4449,54483863,Tennessee,,4-year,Married,"$150,000 - $199,999",Donald Trump
4450,54488519,Georgia,,Some college,Divorced,"$30,000 - $39,999",
4451,54506840,Georgia,,High school graduate,Single,Prefer not to say,
4452,54507419,Florida,,High school graduate,Married,"$20,000 - $29,999",Donald Trump
4453,54518228,Pennsylvania,,Post-grad,Married,"$80,000 - $99,999",Donald Trump
4454,54529184,Ohio,,High school graduate,Married,"$60,000 - $69,999",Hillary Clinton
4455,54534359,Texas,,Some college,Single,Prefer not to say,Donald Trump
4456,54535007,California,,No HS,Divorced,"$20,000 - $29,999",Donald Trump
4457,54543830,Florida,,Post-grad,Married,"$500,000 or more",Donald Trump
4458,54551726,Vermont,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
4459,54553295,Colorado,,Some college,Married,"$40,000 - $49,999",Donald Trump
4460,54560714,Nevada,,No HS,Married,"$20,000 - $29,999",Donald Trump
4461,54563429,Texas,,Some college,Married,"$60,000 - $69,999",Donald Trump
4462,54571796,California,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
4463,54573170,Louisiana,,Some college,Single,"$60,000 - $69,999",Donald Trump
4464,54584516,North Carolina,,4-year,Married,"$150,000 or more",Hillary Clinton
4465,54589880,Virginia,,High school graduate,Married,"$120,000 - $149,999",Donald Trump
4466,54589925,Florida,,Some college,Divorced,"$30,000 - $39,999",Hillary Clinton
4467,54590513,New Jersey,,2-year,Married,"$80,000 - $99,999",Donald Trump
4468,54595184,Georgia,,4-year,Married,"$100,000 - $119,999",Hillary Clinton
4469,54598496,Ohio,,High school graduate,Divorced,"Less than $10,000",
4470,54607592,Alabama,,2-year,Domestic partnership,Prefer not to say,Hillary Clinton
4471,54626096,Maine,,Some college,Married,"$40,000 - $49,999",Donald Trump
4472,54637994,California,,2-year,Married,"$100,000 - $119,999",Donald Trump
4473,54640058,Minnesota,,Post-grad,Married,"$60,000 - $69,999",Hillary Clinton
4474,54642752,California,,Post-grad,Single,"$150,000 - $199,999",
4475,54643586,Alabama,,Post-grad,Married,"$200,000 - $249,999",Hillary Clinton
4476,54650315,Missouri,,High school graduate,Married,"$10,000 - $19,999",Hillary Clinton
4477,54664307,Texas,,2-year,Domestic partnership,"$150,000 - $199,999",Hillary Clinton
4478,54710804,Georgia,,High school graduate,Divorced,"$30,000 - $39,999",Donald Trump
4479,54711122,Ohio,,High school graduate,Married,"$80,000 - $99,999",Hillary Clinton
4480,54713450,Kansas,,2-year,Married,"$50,000 - $59,999",Hillary Clinton
4481,54725510,Massachusetts,,High school graduate,Married,"$20,000 - $29,999",Hillary Clinton
4482,54725648,Georgia,,Some college,Married,"$30,000 - $39,999",Donald Trump
4483,54732101,Florida,,High school graduate,Single,"$50,000 - $59,999",Gary Johnson
4484,54734282,Michigan,,4-year,Married,"$150,000 or more",Hillary Clinton
4485,54739958,New York,,Post-grad,Married,"$200,000 - $249,999",Jill Stein
4486,54742631,Florida,,4-year,Married,"$80,000 - $99,999",Hillary Clinton
4487,54743462,Massachusetts,,Some college,Widowed,"$40,000 - $49,999",Donald Trump
4488,54752981,Pennsylvania,,4-year,Married,"$60,000 - $69,999",Donald Trump
4489,54758294,Michigan,,Post-grad,Single,Prefer not to say,Hillary Clinton
4490,54761636,Virginia,,4-year,Married,"$100,000 - $119,999",Hillary Clinton
4491,54766193,Texas,,Some college,Widowed,"$40,000 - $49,999",Donald Trump
4492,54766244,Indiana,,High school graduate,Married,"$40,000 - $49,999",Gary Johnson
4493,54777503,New York,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
4494,54786623,Pennsylvania,,4-year,Single,"$80,000 - $99,999",Hillary Clinton
4495,54792677,Indiana,,Post-grad,Married,"$100,000 - $119,999",Donald Trump
4496,54812612,Oregon,,High school graduate,Divorced,Prefer not to say,Donald Trump
4497,54823502,Kentucky,,Some college,Married,"$30,000 - $39,999",Donald Trump
4498,54836354,Massachusetts,,4-year,Married,"$150,000 - $199,999",Other
4499,54837638,Massachusetts,,4-year,Divorced,Prefer not to say,Hillary Clinton
4500,54876491,Pennsylvania,,High school graduate,Married,"$60,000 - $69,999",Hillary Clinton
4501,54876719,Texas,,High school graduate,Married,Prefer not to say,Hillary Clinton
4502,54881120,Iowa,,Post-grad,Single,"$40,000 - $49,999",Donald Trump
4503,54908468,Illinois,,2-year,Married,"$70,000 - $79,999",Donald Trump
4504,54911789,Illinois,,High school graduate,Married,"$120,000 - $149,999",Jill Stein
4505,54913166,Tennessee,,Post-grad,Divorced,"$40,000 - $49,999",Donald Trump
4506,54920234,Illinois,,High school graduate,Domestic partnership,"$50,000 - $59,999",
4507,54923414,New York,,2-year,Married,Prefer not to say,Donald Trump
4508,54923873,Tennessee,,Some college,Married,"$50,000 - $59,999",Hillary Clinton
4509,54931847,California,,Post-grad,Single,"$40,000 - $49,999",Hillary Clinton
4510,54937160,Arkansas,,High school graduate,Married,"$20,000 - $29,999",Hillary Clinton
4511,54943904,Florida,,No HS,Divorced,"Less than $10,000",Hillary Clinton
4512,54957182,Texas,,4-year,Divorced,"$50,000 - $59,999",Donald Trump
4513,54969506,Virginia,,Some college,Domestic partnership,"$50,000 - $59,999",Donald Trump
4514,54997964,Georgia,,No HS,Married,"$10,000 - $19,999",Donald Trump
4515,55009457,California,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
4516,55017317,North Carolina,,Some college,Divorced,"$30,000 - $39,999",Donald Trump
4517,55028426,California,,Some college,Married,"$60,000 - $69,999",Donald Trump
4518,55040360,Texas,,High school graduate,Divorced,Prefer not to say,Hillary Clinton
4519,55056572,Virginia,,Some college,Divorced,"$20,000 - $29,999",Donald Trump
4520,55082990,Illinois,,4-year,Domestic partnership,"$80,000 - $99,999",Hillary Clinton
4521,55087445,Oregon,,2-year,Married,"$30,000 - $39,999",Donald Trump
4522,55104803,Pennsylvania,,4-year,Married,"$70,000 - $79,999",Hillary Clinton
4523,55121183,California,,Some college,Widowed,"$70,000 - $79,999",Hillary Clinton
4524,55127504,Michigan,,High school graduate,Married,"$40,000 - $49,999",Hillary Clinton
4525,55130855,Nevada,,4-year,Married,"$120,000 - $149,999",Donald Trump
4526,55133999,Texas,,High school graduate,Single,Prefer not to say,Hillary Clinton
4527,55139009,Ohio,,4-year,Single,"$70,000 - $79,999",Hillary Clinton
4528,55157282,Wisconsin,,High school graduate,Married,"$50,000 - $59,999",
4529,55163099,Iowa,,Some college,Divorced,"$40,000 - $49,999",Donald Trump
4530,55163279,Maine,,High school graduate,Single,"Less than $10,000",Hillary Clinton
4531,55163681,Virginia,,2-year,Married,"$80,000 - $99,999",Hillary Clinton
4532,55166081,Oregon,,Some college,Widowed,"$20,000 - $29,999",Donald Trump
4533,55172969,California,,Post-grad,Married,"$500,000 or more",Hillary Clinton
4534,55174313,Michigan,,Some college,Married,"$80,000 - $99,999",Hillary Clinton
4535,55175057,California,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
4536,55180526,Missouri,,High school graduate,Married,"$40,000 - $49,999",Hillary Clinton
4537,55184291,New Jersey,,4-year,Married,"$120,000 - $149,999",Donald Trump
4538,55184891,New Hampshire,,High school graduate,Married,Prefer not to say,Hillary Clinton
4539,55203074,Pennsylvania,,Some college,Married,"$60,000 - $69,999",Hillary Clinton
4540,55203284,Maryland,,2-year,Married,"$20,000 - $29,999",Hillary Clinton
4541,55211861,Florida,,4-year,Single,"$80,000 - $99,999",Donald Trump
4542,55279604,Oklahoma,,2-year,Married,"$20,000 - $29,999",Hillary Clinton
4543,55280363,Texas,,Some college,Married,"$60,000 - $69,999",Donald Trump
4544,55285331,Massachusetts,,4-year,Married,"$70,000 - $79,999",Donald Trump
4545,55293137,Ohio,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
4546,55393289,Minnesota,,4-year,Married,"$100,000 - $119,999",Evan McMullin
4547,55397642,New Jersey,,Post-grad,Widowed,"$120,000 - $149,999",Donald Trump
4548,55410377,Florida,,Some college,Divorced,"$50,000 - $59,999",Donald Trump
4549,55430246,California,,High school graduate,Widowed,"$10,000 - $19,999",Donald Trump
4550,55442303,Illinois,,High school graduate,Married,"$10,000 - $19,999",Donald Trump
4551,55446110,New York,,High school graduate,Married,"$30,000 - $39,999",Jill Stein
4552,55459256,Arkansas,,4-year,Single,"$30,000 - $39,999",Donald Trump
4553,55470482,California,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
4554,55478606,California,,Some college,Widowed,"$20,000 - $29,999",Other
4555,55479740,Florida,,4-year,Single,"$30,000 - $39,999",Donald Trump
4556,55491605,Texas,,2-year,Single,"$20,000 - $29,999",Hillary Clinton
4557,55495961,Minnesota,,2-year,Single,Prefer not to say,Hillary Clinton
4558,55500683,Washington,,2-year,Single,Prefer not to say,Donald Trump
4559,55502444,Florida,,4-year,Married,"$50,000 - $59,999",Donald Trump
4560,55513877,Michigan,,High school graduate,Married,"$100,000 - $119,999",Donald Trump
4561,55524581,Indiana,,4-year,Married,"$70,000 - $79,999",Donald Trump
4562,55531256,Alabama,,4-year,Single,"$40,000 - $49,999",Hillary Clinton
4563,55537958,Kansas,,Post-grad,Domestic partnership,"$60,000 - $69,999",Hillary Clinton
4564,55538864,Pennsylvania,,High school graduate,Married,"$20,000 - $29,999",Donald Trump
4565,55560590,Illinois,,Some college,Single,"$10,000 - $19,999",Hillary Clinton
4566,55567694,New York,,Post-grad,Single,"$40,000 - $49,999",Hillary Clinton
4567,55583885,Pennsylvania,,4-year,Single,"$70,000 - $79,999",Jill Stein
4568,55605062,Pennsylvania,,Some college,Domestic partnership,"$70,000 - $79,999",Donald Trump
4569,55612178,Indiana,,High school graduate,Married,"$60,000 - $69,999",Donald Trump
4570,55622534,Missouri,,4-year,Married,"Less than $10,000",Donald Trump
4571,55636454,Minnesota,,No HS,Married,"$100,000 - $119,999",Hillary Clinton
4572,55647227,Pennsylvania,,High school graduate,Widowed,"$60,000 - $69,999",Hillary Clinton
4573,55662260,North Carolina,,4-year,Separated,"$80,000 - $99,999",Hillary Clinton
4574,55663454,Arkansas,,High school graduate,Divorced,"$20,000 - $29,999",Hillary Clinton
4575,55671362,Florida,,High school graduate,Married,"$20,000 - $29,999",Hillary Clinton
4576,55678016,New York,,Post-grad,Widowed,"$70,000 - $79,999",Donald Trump
4577,55680479,Florida,,4-year,Separated,"$50,000 - $59,999",Donald Trump
4578,55683605,Florida,,High school graduate,Divorced,"$20,000 - $29,999",Donald Trump
4579,55689479,New York,,High school graduate,Married,"$80,000 - $99,999",Donald Trump
4580,55696457,California,,No HS,Married,"$50,000 - $59,999",Donald Trump
4581,55698611,New York,,4-year,Married,"$60,000 - $69,999",
4582,55700141,Texas,,2-year,Widowed,Prefer not to say,
4583,55705748,Florida,,Some college,Married,"$20,000 - $29,999",Donald Trump
4584,55724414,Illinois,,Some college,Married,"$10,000 - $19,999",Hillary Clinton
4585,55726235,Mississippi,,2-year,Married,Prefer not to say,Hillary Clinton
4586,55741760,Iowa,,Some college,Married,"$120,000 - $149,999",Hillary Clinton
4587,55752854,Pennsylvania,,2-year,Married,"$80,000 - $99,999",Donald Trump
4588,55761032,Utah,,4-year,Married,"$80,000 - $99,999",
4589,55773263,Illinois,,Post-grad,Married,"$200,000 - $249,999",Hillary Clinton
4590,55780160,Florida,,High school graduate,Married,"$20,000 - $29,999",Donald Trump
4591,55781417,North Carolina,,2-year,Married,"$30,000 - $39,999",Hillary Clinton
4592,55787771,Pennsylvania,,2-year,Single,Prefer not to say,Donald Trump
4593,55788539,New Jersey,,4-year,Widowed,"$120,000 - $149,999",Hillary Clinton
4594,55794158,Minnesota,,2-year,Married,"$60,000 - $69,999",Donald Trump
4595,55804802,Illinois,,Post-grad,Divorced,"$100,000 - $119,999",Hillary Clinton
4596,55846013,Arizona,,Some college,Married,"$60,000 - $69,999",Hillary Clinton
4597,55851119,Florida,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
4598,55851959,Florida,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
4599,55853132,Texas,,High school graduate,Married,"$100,000 - $119,999",Hillary Clinton
4600,55857362,Virginia,,Post-grad,Divorced,"$200,000 - $249,999",Donald Trump
4601,55867937,Wisconsin,,Post-grad,Married,"$120,000 - $149,999",Gary Johnson
4602,55876352,Idaho,,Some college,Married,"$60,000 - $69,999",Donald Trump
4603,55884428,New Mexico,,4-year,Divorced,"$100,000 - $119,999",Hillary Clinton
4604,55889012,Washington,,Some college,Married,"$10,000 - $19,999",
4605,55902347,Minnesota,,2-year,Single,"$70,000 - $79,999",Hillary Clinton
